isco08,isco_name,feor_08,feor_08_name
3331,Vámügyintézők és speditőrök,3622,Kereskedelmi ügyintéző
3332,Konferencia- és rendezvényszervezők,3631,Konferencia- és rendezvényszervező
3333,Munka- és bérmunka-közvetítők,3520,Munkaerő-piaci szolgáltatási ügyintéző
3334,Ingatlanügynökök és -kezelők,3633,"Ingatlanügynök, ingatlanforgalmazási ügyintéző"
3339,Máshová nem sorolható üzleti szolgáltatásokat nyújtók,3639,"Egyéb, máshova nem sorolható üzleti jellegű szolgáltatás ügyintézője"
3339,Máshová nem sorolható üzleti szolgáltatásokat nyújtók,3910,Egyéb ügyintéző
3341,Irodavezetők,3161,Munka- és termelésszervező
3341,Irodavezetők,3221,"Irodai szakmai irányító, felügyelő"
3342,Jogi titkárok,3642,Jogi asszisztens
3343,Igazgatási és ügyvezetési titkárok,3641,Személyi asszisztens
3343,Igazgatási és ügyvezetési titkárok,3649,Egyéb igazgatási és jogi asszisztens
3344,Orvosírnokok,3322,Egészségügyi dokumentátor
3351,Vám- és határfelügyeleti ügyintézők,3651,Vám- és pénzügyőr
3352,Adóhatósági ügyintézők,3652,Adó- és illetékhivatali ügyintéző
3353,Szociális ellátásokat kezelő ügyintézők,3653,Társadalombiztosítási és segélyezési hatósági ügyintéző
3354,Hatósági engedélyezési ügyintézők,3654,Hatósági engedélyek kiadásával foglalkozó ügyintéző
3355,Rendőrfelügyelők és nyomozók,3655,Nyomozó
3359,Máshová nem sorolható közhivatali ügyintézők,3659,Egyéb hatósági ügyintéző
3359,Máshová nem sorolható közhivatali ügyintézők,3910,Egyéb ügyintéző
3411,Jogi és hasonló foglalkozásúak,3649,Egyéb igazgatási és jogi asszisztens
3411,Jogi és hasonló foglalkozásúak,3910,Egyéb ügyintéző
3412,Szociális foglalkozásúak,3511,Szociális segítő
3412,Szociális foglalkozásúak,3513,"Szociális gondozó, szakgondozó"
3412,Szociális foglalkozásúak,3515,Ifjúságsegítő
3413,Vallási kiegészítő foglalkozásúak,3730,Egyéb vallási foglalkozású
3421,Sportolók,3721,Sportoló
3422,"Sportedzők, -oktatók és -tisztségviselők",2717,"Szakképzett edző, sportszervező, -irányító"
3423,Fitneszoktatók és szabadidős programok vezetői,3722,Fitnesz- és rekreációs program irányítója
3431,Fényképészek,3713,Fényképész
3432,Épületbelső-tervezők és -dekoratőrök,3714,"Díszletező, díszítő"
3432,Épületbelső-tervezők és -dekoratőrök,3716,"Lakberendező, dekoratőr"
3433,"Kiállítótermi, múzeumi és könyvtári technikusok",3717,Kulturális intézményi szaktechnikus
3434,Konyhafőnökök,3222,"Konyhafőnök, séf"
3435,Egyéb művészeti és kulturális foglalkozásúak,2714,Kulturális szervező
3435,Egyéb művészeti és kulturális foglalkozásúak,2719,Egyéb kulturális és sportfoglalkozású (felsőfokú képzettséghez kapcsolódó)
3435,Egyéb művészeti és kulturális foglalkozásúak,3711,"Segédszínész, statiszta"
3435,Egyéb művészeti és kulturális foglalkozásúak,3712,Segédrendező
3435,Egyéb művészeti és kulturális foglalkozásúak,3715,Kiegészítő filmgyártási és színházi foglalkozású
3435,Egyéb művészeti és kulturális foglalkozásúak,3719,Egyéb művészeti és kulturális foglalkozású
3511,Információs és kommunikációs technológiák üzemeltető technikusai,3141,Informatikai és kommunikációs rendszereket kezelő technikus
3512,Információs és kommunikációs technológiák felhasználói támogatását biztosító technikusok,3142,Informatikai és kommunikációs rendszerek felhasználóit támogató technikus
3513,Számítógépes hálózatok és rendszerek technikusai,3143,Számítógéphálózat- és rendszertechnikus
3514,Webtechnikusok,3144,Webrendszer- (hálózati) technikus
3521,Műsorszórási és audiovizuális technikusok,3145,Műsorszóró és audiovizuális technikus
3522,Távközlési technikusok,3146,Telekommunikációs technikus
4110,Általános irodai foglalkozásúak,4112,Általános irodai adminisztrátor
4120,Titkárok (általános),4111,Titkár(nő)
4131,Gépírók és szövegszerkesztők,4113,"Gépíró, szövegszerkesztő"
4132,Adatrögzítők,4114,"Adatrögzítő, kódoló"
4211,Bankpénztárosok és hasonló foglalkozásúak,4211,Banki pénztáros
4211,Bankpénztárosok és hasonló foglalkozásúak,4227,Postai ügyfélkapcsolati foglalkozású
4212,"Bukmékerek, krupiék és hasonló foglalkozásúak",4212,Szerencsejáték-szervező
4213,Zálogosok és pénzkölcsönzők,4213,Zálogházi ügyintéző és pénzkölcsönző
4214,Adósságbehajtók és hasonló foglalkozásúak,3656,"Végrehajtó, adósságbehajtó"
